Monster,2018,,"Short, Sci-Fi",Albinas Kirkilas,Albinas Kirkilas,"Daiva Kazakeviciute, Arunas Urbanavicius",Lithuanian,Lithuania,N/A,N/A
Monster,2018,,"Short, Sci-Fi",Albinas Kirkilas,Albinas Kirkilas,"Daiva Kazakeviciute, Arunas Urbanavicius",Lithuanian,Lithuania,N/A,N/A
Monster,2018,,"Short, Sci-Fi",Albinas Kirkilas,Albinas Kirkilas,"Daiva Kazakeviciute, Arunas Urbanavicius",Lithuanian,Lithuania,N/A,N/A
Monster,2019,,"Short, Crime",Sergio Vizuete,Sergio Vizuete,"Melissa DiFazio, Daze",English,N/A,N/A,N/A
Monster,2019,,"Short, Crime",Sergio Vizuete,Sergio Vizuete,"Melissa DiFazio, Daze",English,N/A,N/A,N/A
Darbar,2020,,Action,A.R. Murugadoss,"A.R. Murugadoss (Dialogue), A.R. Murugadoss (Screenplay), A.R. Murugadoss (Story)","Rajinikanth, Nayanthara, Sunil Shetty, Yogi Babu",Tamil,India,N/A,6.3
Pattas,2020,,Action,R.S. Durai Senthilkumar,R.S. Durai Senthilkumar,"Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra",Tamil,India,N/A,N/A
Psycho,2020,,"Crime, Thriller",Myshkin,Myshkin,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram",Tamil,India,N/A,6.8
Kannum Kannum Kollaiyadithaal,2020,,"Drama, Romance, Thriller",Desingh Periyasamy,Desingh Periyasamy,"Dulquer Salmaan, Gautham Vasudev Menon, Ritu Varma, Rakshan","Tamil, Telugu",India,N/A,7.8
Oh My Kadavule,2020,,Comedy,Ashwath Marimuthu,N/A,"Ashok Selvan, Ritika Singh, Vani Bhojan, Vijay Sethupathi",Tamil,India,N/A,9.1
Naan Sirithaal,2020,,"Comedy, Drama",Raana,N/A,"Hiphop Tamizha Adhi, Iswarya Menon, K.S. Ravikumar, Badava Gopi",Tamil,India,N/A,6.5
Mafia: Chapter 1,2020,,"Action, Crime",Karthick Naren,Karthick Naren,"Arun Vijay, Prasanna, Priya Bhavani Shankar, Thalaivasal Vijay",Tamil,India,N/A,6.1
Draupathi,2020,,Drama,"Mohan G., Stunt Mahesh",ManikandanPriya (lyricist),"Karunas, Nishanth, Richard Rishi, Sheela",Tamil,India,N/A,5.8
Vaanam Kottattum,2020,,Drama,Dhana Sekaran,"Mani Ratnam, Dhana Sekaran","Sarath Kumar, Vikram Prabhu, Radhika Sarathkumar, Aishwarya Rajesh",Tamil,India,N/A,6.4
Dagaalty,2020,,"Action, Comedy, Drama",Vijay Anand,Vijay Anand,"Santhanam, Rittika Sen, Yogi Babu, Radha Ravi",Tamil,India,N/A,5.1
Day knight,2020,,Thriller,N.K.kandi,N/A,Aadarsh Pullanikat,Tamil,India,N/A,5.0
Taana,2020,,"Action, Comedy, Horror",Yuvaraj Subramani,Yuvaraj Subramani,"Yogi Babu, Nandita Shwetha, Vaibhav Reddy",N/A,India,N/A,5.1
Naadodigal 2,2020,,Drama,Samuthirakani,N/A,"M. Sasikumar, Anjali, Athulya Ravi, Bharani",Tamil,India,N/A,6.1
Seeru,2020,,"Action, Drama","Rathina Shiva, Sami Rajalingam(co-director)",Rathina Shiva,"Jiiva, Navdeep, Riya Suman, Varun",Tamil,India,N/A,5.4
God Father,2020,,"Action, Drama, Thriller",Jegan Rajshekar,Jegan Rajshekar,"Ananya, Ashwanth Ashokkumar, Lal, Marimuthu",Tamil,India,N/A,6.8
Gypsy,2020,,Drama,Raju Murugan,Raju Murugan,"Jiiva, Natasha Singh, Lal Jose, Sunny Wayne",Tamil,India,N/A,7.7
Walter,2020,,Thriller,Anbarasan,Anbarasan,"Yogi Babu, Sanam Shetty, Sibiraj",Tamil,India,N/A,N/A
Dharala Prabhu,2020,,Comedy,Krishna Marimuthu,N/A,"Tanya Hope, Harish Kalyan",Tamil,India,N/A,7.9
