Index,Title,Year,Genre,Director,Writer,Actors,Language,Country,Awards,IMDB rating
1,Enakku Innum Kalyanam Aakale,2019,Comedy,Murugalingam,,"Jagan, Piraisoodan, Raihana",Tamil,India,N/A,
2,Kalavani 2,2019,"Comedy, Drama, Romance",A. Sarkunam,A. Sarkunam,"Vimal, Oviya, Saranya Ponvannan, Ilavarasu",Tamil,India,N/A,5.2
3,Raatchasi,2019,Drama,Sy Gowthamraj,Bharathi Thambi,"Jyotika, Hareesh Peradi, Poornima Jayaram, Sathyan",Tamil,India,N/A,7.3
4,Bodhai Yeri Budhi Maari,2019,"Drama, Thriller",Chandru,,Pradaini Surva,Tamil,India,N/A,
5,Gorilla,2019,Comedy,Don Sandy,"Don Sandy (dialogue), Don Sandy (screenplay), Don Sandy (story)","Jiiva, Shalini Pandey, Radha Ravi, Sathish",Tamil,India,N/A,4.6
6,Gurkha,2019,"Action, Comedy",Sam Anton,Sam Anton,"Yogi Babu, Charlie, Elyssa Erhardt, Anandraj",Tamil,India,N/A,4.7
7,Thozhar Venkatesan,2019,Drama,Mahashivan,Mahashivan,"K. Hari Shankar, Monica Chinnakotla",Tamil,India,N/A,6.8
8,Vennila Kabaddi Kuzhu 2,2019,"Action, Drama",Selva Sekaran,"Selva Sekaran, Suseenthiran (story)","Appukutty, Arthana Binu, Kishore Kumar G., 'Ganja' Karuppu",Tamil,India,N/A,5.5
9,Kadaram Kondan,2019,"Action, Thriller",Rajesh M. Selva,Rajesh M. Selva,"Vikram, Akshara Haasan, Abi Hassan, Lena","Tamil, Telugu",India,N/A,5.7
10,Unarvu,2019,"Comedy, Drama, Thriller",Subbu,,"Kottachi, Ankitha Navya, Arul D. Shankar, Shinav",Tamil,India,N/A,
11,A1,2019,"Comedy, Drama",K. Johnson,K. Johnson,"Santhanam, Tara-Alisha Berry, Motta Rajendran, Yatin Karyekar",Tamil,India,N/A,5.7
12,Chennai Palani Mars,2019,"Adventure, Comedy, Drama, Fantasy",Biju Viswanath,"Vijay Sethupathi, Biju Viswanath","Praveen Raja, Rajesh Giriprasad, Vasant Marimuthu, A. Ravikumar",Tamil,India,N/A,7.2
13,Kolanji,2018,"Comedy, Drama",Dhanaram Saravanan,"Naveen, Dhanaram Saravanan","Nadodigal Gopal, Kribakaran, Rujil Krishna, Pichaikkaran Moorthy",Tamil,India,N/A,N/A
14,Jackpot,2019,"Action, Comedy",Kalyaan,Kalyaan,"Samuthirakani, Anandraj, Motta Rajendran, Yogi Babu",Tamil,India,N/A,5.4
